"_col0","lifespan","objects"
"2016-09-10 00:00:00.000","316264.5","3"
"2018-08-27 00:00:00.000","1.0","1"
"2017-04-07 00:00:00.000","88347.63982102908","5121"
"2017-04-14 00:00:00.000","4168.142857142857","72"
"2015-04-29 00:00:00.000","774074.8305084746","128"
"2016-06-16 00:00:00.000","331725.695412844","1406"
"2015-05-06 00:00:00.000","727187.5964912281","247"
"2017-04-28 00:00:00.000","252703.42857142858","324"
"2016-04-14 00:00:00.000","118501.81428571428","86"
"2018-03-31 00:00:00.000",,"18"
"2018-06-16 00:00:00.000",,"5"
"2017-06-23 00:00:00.000",,"1"
"2015-07-08 00:00:00.000",,"3"
"2014-04-29 00:00:00.000","312932.0","5"
"2018-06-09 00:00:00.000",,"1"
"2016-04-28 00:00:00.000","377628.452","854"
"2016-04-21 00:00:00.000","128312.7375","104"
"2016-05-04 00:00:00.000","256844.11363636365","82"
"2017-04-20 00:00:00.000","248393.375","322"
"2016-06-23 00:00:00.000","429337.1964285714","524"
"2016-02-18 00:00:00.000","234237.22950819673","95"
"2016-02-25 00:00:00.000","424470.8","130"
"2018-04-20 00:00:00.000","69637.0","16"
"2017-05-04 00:00:00.000","466802.44444444444","65"
"2013-02-05 00:00:00.000","1737410.2","5"
"2018-02-23 00:00:00.000",,"2"
"2017-03-02 00:00:00.000",,"5"
"2017-11-14 00:00:00.000","349432.4666666667","619"
"2016-11-27 00:00:00.000","565365.2666666667","121"
"2013-08-02 00:00:00.000","1574369.462686567","77"
"2016-11-15 00:00:00.000","382839.26666666666","118"
"2016-09-12 00:00:00.000","436231.63313609466","506"
"2016-09-26 00:00:00.000","122317.6","300"
"2017-11-20 00:00:00.000",,"89"
"2017-10-02 00:00:00.000","809647.90625","97"
"2017-09-05 00:00:00.000",,"2"
"2017-11-07 00:00:00.000",,"5"
"2015-09-13 00:00:00.000","768945.0","8"
"2017-01-29 00:00:00.000","208537.66666666666","283"
"2016-10-02 00:00:00.000","429137.4","82"
"2016-11-21 00:00:00.000","5165.285714285715","77"
"2017-01-30 00:00:00.000","211511.84615384616","430"
"2016-09-05 00:00:00.000","110378.0","70"
"2016-11-14 00:00:00.000","202281.72222222222","23"
"2018-01-23 00:00:00.000",,"2"
"2015-06-19 00:00:00.000","984369.8235294118","87"
"2018-03-20 00:00:00.000",,"8"
"2018-04-02 00:00:00.000",,"1"
"2018-05-21 00:00:00.000",,"16"
"2018-06-17 00:00:00.000","76564.0","9"
"2018-03-19 00:00:00.000","102906.0","3"
"2016-05-29 00:00:00.000","316899.83720930235","1032"
"2016-04-08 00:00:00.000","439396.8478723404","1028"
"2016-05-28 00:00:00.000","206364.15229885056","599"
"2018-06-10 00:00:00.000",,"34"
"2016-04-16 00:00:00.000","147065.6923076923","222"
"2017-04-02 00:00:00.000","69481.85714285714","51"
"2015-05-30 00:00:00.000",,"23"
"2017-08-06 00:00:00.000","377398.0","27"
"2015-02-13 00:00:00.000","1481998.0","12"
"2018-03-26 00:00:00.000","96882.0","3"
"2015-03-14 00:00:00.000","607511.0","1"
"2017-03-19 00:00:00.000","571543.0","1"
