"_col0","lifespan_minutes","changesets","objects"
"2017-03-07 00:00:00.000","64272.444444444445","1","30"
"2016-02-23 00:00:00.000","213589.98104265402","7","544"
"2018-05-09 00:00:00.000","12499.0","2","4"
"2018-07-04 00:00:00.000",,"1","1"
"2016-03-01 00:00:00.000","95476.83333333333","1","12"
"2018-03-13 00:00:00.000",,"2","3"
"2015-03-03 00:00:00.000","708640.0","1","3"
"2016-03-28 00:00:00.000","427107.0","1","2"
"2016-11-30 00:00:00.000","231531.52380952382","20","191"
"2016-11-11 00:00:00.000","385793.0","19","105"
"2013-09-23 00:00:00.000","696125.5","4","4"
"2018-11-16 00:00:00.000",,"1","14"
"2018-11-23 00:00:00.000",,"1","2"
"2016-11-16 00:00:00.000","363973.5","7","18"
"2013-07-15 00:00:00.000","1819107.0","1","30"
"2017-11-03 00:00:00.000",,"1","4"
"2014-05-12 00:00:00.000","704462.0","1","3"
"2017-05-09 00:00:00.000","133046.14285714287","38","149"
"2017-05-03 00:00:00.000","83745.42857142857","28","154"
"2016-05-17 00:00:00.000","328414.9262295082","21","627"
"2016-05-10 00:00:00.000","145267.30809595203","45","2062"
"2017-03-01 00:00:00.000","344622.8333333333","9","41"
"2016-07-12 00:00:00.000","556760.421875","22","227"
"2015-05-24 00:00:00.000","870330.1052631579","6","100"
"2018-05-15 00:00:00.000","133196.0","5","8"
"2017-11-16 00:00:00.000","121846.2","109","852"
"2017-01-26 00:00:00.000","298491.87096774194","14","212"
"2017-09-15 00:00:00.000","858172.0","9","739"
"2016-09-21 00:00:00.000","314902.94074074074","22","488"
"2016-09-08 00:00:00.000","388876.36477115116","31","1547"
"2017-01-25 00:00:00.000","58623.13333333333","9","95"
"2016-09-01 00:00:00.000","188550.4705882353","5","26"
"2017-01-19 00:00:00.000","139533.4705882353","9","160"
"2017-08-25 00:00:00.000",,"1","19"
"2017-09-08 00:00:00.000","315993.0","4","58"
"2012-11-19 00:00:00.000","2102399.0","1","1"
"2015-09-02 00:00:00.000","3896.0","2","2"
"2019-01-05 00:00:00.000",,"1","2"
"2016-09-14 00:00:00.000","168498.0","1","6"
"2014-09-10 00:00:00.000","44937.0","1","1"
"2016-12-16 00:00:00.000","803689.2","6","86"
"2016-12-23 00:00:00.000","469577.6666666667","3","24"
"2017-12-23 00:00:00.000",,"1","1"
"2016-10-28 00:00:00.000","119.0","8","46"
"2016-12-30 00:00:00.000",,"1","3"
"2017-10-14 00:00:00.000",,"1","1"
"2016-10-07 00:00:00.000","57316.0","1","2"
"2015-08-14 00:00:00.000","193860.0","1","1"
"2016-06-12 00:00:00.000","369188.3628318584","32","1597"
"2017-04-30 00:00:00.000","313643.5","48","480"
"2017-04-03 00:00:00.000","54344.56626506024","55","808"
"2017-04-10 00:00:00.000","96106.74576271187","90","1425"
"2018-06-05 00:00:00.000","61347.5","10","44"
"2016-06-26 00:00:00.000","322777.2247557003","58","796"
"2016-07-03 00:00:00.000","264736.5681818182","33","141"
"2018-04-30 00:00:00.000","1410.0","7","30"
"2018-06-18 00:00:00.000",,"1","4"
"2015-04-12 00:00:00.000","9.0","1","1"
"2016-04-11 00:00:00.000","180423.0823529412","10","86"
"2016-06-13 00:00:00.000","319113.36363636365","21","496"
"2018-06-12 00:00:00.000","85670.66666666667","10","104"
"2018-04-16 00:00:00.000",,"3","18"
"2017-04-23 00:00:00.000","410245.3846153846","7","63"
"2018-04-03 00:00:00.000",,"3","17"
"2018-03-27 00:00:00.000",,"1","2"
"2016-02-21 00:00:00.000","181606.1","1","20"
"2014-04-05 00:00:00.000","1187525.0","1","1"
"2012-03-01 00:00:00.000","2217495.0","1","1"
"2016-08-22 00:00:00.000","69359.18181818182","10","132"
"2013-07-04 00:00:00.000","2124781.9844559585","3","253"
"2017-09-10 00:00:00.000","260306.0","5","9"
"2017-11-13 00:00:00.000",,"2","2"
"2011-07-07 00:00:00.000","98892.45833333333","13","48"
"2017-08-21 00:00:00.000","125937.5","4","32"
"2011-11-23 00:00:00.000","260873.5","2","3"
"2015-09-12 00:00:00.000","119113.0","1","1"
