"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2010-10-30 00:00:00.000","1594172.0","1","1","1"
"2017-11-02 00:00:00.000","0.0","1","3","2"
"2017-10-26 00:00:00.000","331548.0","1","2","2"
"2018-12-28 00:00:00.000",,"1","1","1"
"2008-07-17 00:00:00.000","4103.5","1","2","2"
"2013-11-11 00:00:00.000","49128.509776207306","43","6179","5618"
"2013-11-10 00:00:00.000","49679.66995666827","46","5820","5497"
"2017-11-15 00:00:00.000","56560.12857142857","2","377","328"
"2017-11-08 00:00:00.000","209103.33333333334","3","4","3"
"2016-11-09 00:00:00.000",,"2","29","29"
"2018-12-21 00:00:00.000",,"1","35","35"
"2015-09-01 00:00:00.000",,"1","1","1"
"2016-12-28 00:00:00.000",,"1","1","1"
"2017-09-06 00:00:00.000",,"3","4","4"
"2016-10-26 00:00:00.000","141690.0","2","3","3"
"2016-08-30 00:00:00.000",,"1","1","1"
"2013-07-01 00:00:00.000","187162.0","1","1","1"
"2017-11-09 00:00:00.000","6503.0","1","1","1"
"2016-01-18 00:00:00.000",,"1","2","2"
"2017-01-23 00:00:00.000",,"1","1","1"
"2017-09-19 00:00:00.000","47488.454545454544","1","142","141"
"2017-12-11 00:00:00.000","422744.5","1","10","10"
"2016-09-18 00:00:00.000",,"1","3","3"
"2015-11-23 00:00:00.000","0.0","1","5","4"
"2017-12-04 00:00:00.000","463181.0","1","6","6"
"2011-09-22 00:00:00.000","3726582.0","1","1","1"
"2010-07-21 00:00:00.000","836797.5","1","2","2"
"2013-11-23 00:00:00.000","1054501.5884955751","9","307","255"
"2013-11-30 00:00:00.000","587425.5","2","11","11"
"2017-09-11 00:00:00.000","3255.0","2","32","32"
"2016-11-28 00:00:00.000","115101.0","1","1","1"
"2011-10-13 00:00:00.000","177561.0","2","14","13"
"2012-09-21 00:00:00.000","172665.0","1","1","1"
"2012-09-15 00:00:00.000","1648.5","1","2","2"
"2012-11-27 00:00:00.000","477702.8762886598","1","108","108"
"2016-09-22 00:00:00.000",,"1","1","1"
"2019-01-27 00:00:00.000",,"1","1","1"
"2017-01-27 00:00:00.000","776101.0","1","4","4"
"2015-11-19 00:00:00.000",,"1","1","1"
"2008-10-04 00:00:00.000","1088942.0","1","1","1"
"2016-10-06 00:00:00.000","200489.9090909091","1","52","46"
"2013-12-10 00:00:00.000","1870630.3777777778","1","52","52"
"2014-07-17 00:00:00.000","477911.75","1","35","32"
"2017-11-25 00:00:00.000","89974.28571428571","6","95","94"
"2012-09-25 00:00:00.000","451045.6896551724","1","31","31"
"2014-10-08 00:00:00.000","287619.0","1","11","11"
"2019-02-08 00:00:00.000","35013.28571428572","1","15","10"
"2019-01-26 00:00:00.000",,"1","4","4"
"2015-12-03 00:00:00.000","406259.0","1","7","7"
"2016-10-13 00:00:00.000",,"1","2","2"
"2016-09-23 00:00:00.000","325.0","2","5","4"
"2015-11-26 00:00:00.000","36702.5","2","2","1"
"2013-11-09 00:00:00.000","37908.928999538955","39","7693","7254"
"2017-09-17 00:00:00.000","662652.0","1","29","29"
"2017-10-30 00:00:00.000","22952.0","1","91","91"
"2016-10-31 00:00:00.000",,"1","3","3"
"2019-01-14 00:00:00.000",,"1","1","1"
"2015-09-19 00:00:00.000",,"1","1","1"
"2012-11-22 00:00:00.000","154058.0","1","1","1"
"2009-09-22 00:00:00.000","6573.0","1","1","1"
"2013-11-14 00:00:00.000","751447.4178962399","29","9253","8978"
"2013-11-15 00:00:00.000","709987.0677966102","27","4989","4653"
"2014-11-28 00:00:00.000","660747.1111111111","1","42","42"
"2017-08-22 00:00:00.000","185359.57142857142","1","78","77"
"2013-11-22 00:00:00.000","529469.0909090909","4","33","31"
"2010-06-30 00:00:00.000","449674.78","1","50","37"
"2016-01-16 00:00:00.000","964704.0","1","7","7"
"2011-11-17 00:00:00.000","1041807.0","1","3","3"
"2016-09-11 00:00:00.000","31499.0","2","6","5"
"2013-11-28 00:00:00.000","1032620.0","1","3","3"
"2018-01-14 00:00:00.000",,"1","6","6"
"2018-01-15 00:00:00.000",,"1","1","1"
"2018-10-23 00:00:00.000",,"1","1","1"
"2013-04-17 00:00:00.000","419310.1818181818","1","15","15"
"2017-03-26 00:00:00.000","316917.5238095238","1","45","43"
"2014-01-18 00:00:00.000","249474.85714285713","1","16","15"
"2016-05-28 00:00:00.000",,"1","1","1"
"2015-06-26 00:00:00.000","222507.4","1","27","21"
"2013-04-18 00:00:00.000","674508.5263157894","1","41","41"
